"sub"	"oe"	"covid_vax_attitude"
887	"N\/A"	"Anti"
888	"No."	"Anti"
889	"I looked a lot at the side effects and how many people out of 1,000,000 had reported those side effects"	"Neutral"
890	"I am opposed to the vaccine and would not choose to be vaccinated with any option."	"Anti"
891	"Did not want serious side effects."	"Neutral"
892	"null"	"Anti"
893	"I primarily focused on the protection effectiveness. Depending on the severity of the side-effects I weighed if the protectiveness was worth the side effects."	"Neutral"
894	"I did not search much, but came across information and used my own personal feelings."	"Anti"
895	"No, not really. I paid a lot of attention to the news, and I would occasionally look up the vaccines for my own general knowlwdge."	"Neutral"
896	"null"	"Neutral"
897	"The specific reasons I searched for information was mainly based upon comparing the number of people involved with the associated risks and comparing that to the percentage of effectiveness for the benefits. If there were side effects that had several thousands of people experiencing negative side effects, that tended to sway me from selecting yes for those vaccines. The level of seriousness of possible side effects also tended to sway my decisions, because some vaccines had high numbers people experiencing side effects that were in my opinion less serious but other vaccines had low numbers of people experiencing side effects that I considered very serious. I would characterize my search behavior as comparing risks for the side effects. Regardless of high effectiveness rates for benefits, vaccines with either serious side effects that were possible or vaccines with less serious side effects that were common tended to result in me being unwilling to get them."	"Neutral"
898	"I just looked at the risks of every vaccine and the percentage of people that suffered those risks, then I looked at the effectiveness of each vaccine against COVID death"	"Neutral"
899	"The biggest factor is the country that created the vaccine. I would be more likely to chose a vaccine created in American versus one made in either China or India."	"Anti"
900	"The vaccine is to new to be able to trust totally. So being said i am against taking he vaccine."	"Anti"
901	"I wanted one of the more popular vaccines that people I knew had previously."	"Neutral"
902	"my choices mostly depend on the risk frequency"	"Neutral"
903	"Mainly focused on the symptoms the vaccines may cause. I have to be cautious about any kind of vaccines or medicine that causes headaches and will never take anything that may cause blood clots or inflamation of the heart membrane."	"Anti"
904	"null"	"Anti"
905	"No"	"Neutral"
906	"I looked at the side effects mostly but also how well the vaccines protected against Covid-19."	"Anti"
907	"no"	"Neutral"
908	"I looked at all the data presented in this study and looked at the numbers in great detail.  Most of the information now on vaccines is misinformation.   To give you an idea why, Pfizer work hard with the courts to hide all data on the trial studies and wanted to keep this information from the public for 75 years!  The courts struck down Pfizer's request and was ordered to release information on the trial studies, 500 pages at a time.  In this information, they listed 1,195 known side affects from their vaccine.  I know much more than the average person on vaccines and I have read many studies from the US and internationally on Covid-19.  Here is what I found out with my investigation.   The Covid-19 vaccine is not a vaccine from Pfizer but an experimental gene therapy.  Animals who where first given the covid-19 vaccine in the beginning trials all died.  This vaccine is not approved and has not been  tested on humans before vaccination began.  We also do not know the long term effects of this gene therapy because it takes 8-10 years to complete long term studies.  The Covid-19 is a real virus and it can kill some older people as well as people who have a compromised Immune systems.  Covid-19 has been around since the 1970's, but not in this form.  Covid-19 has been weaponized and was created in a lab in China.  What makes this virus unique is that it has a very high rate of gain of function with spiked proteins, meaning it can spread very easily and very fast.  The person who discovered Aids has published several papers on Covid-19.  He is a top scientist and virologists.  After looking at the virus under a microscope, he found it to be a virus with five different strains in it.  It also has as an HIV delivery system.  There can be no vaccine made to counter this.  This Covid-19 virus is in the Influenza, cold, flu, and pneumonia family.  This virus mutates quickly.  It is impossible to find a vaccine that will work with Covid-19 because it changes so fast.  And like the common cold, it is impossible to find a working vaccine for this strain, because there are thousands of strains."	"Anti"
909	"If there were severe outcomes to getting the vaccine, then that would be a deal breaker."	"Neutral"
910	"I was already very familiar with most of the vaccines and didn't feel the need to search any additional information. I would not get any of them regardless of any presented information."	"Anti"
911	"I searched by effectiveness. Positive"	"Neutral"
912	"Nothing specific, read and followed instructions"	"Anti"
913	"The side effects outweigh the benefits"	"Anti"
914	"null"	"Neutral"
915	"I did not search."	"Anti"
916	"I didn't need to search for information. The virus has a 99.9% survival rate. I don't need to get vaccinated against the common cold."	"Anti"
917	"I'm immune comprised so that pretty much gives me a reason"	"Neutral"
918	"General search with insurance help"	"Neutral"
919	"I didn't search. I simply read ALL The information that was available for each vaccine in the study.\n\nAlso, in the \pay\ section, I chose $1 or $0 for ALL of them. I wasn't \not giving a good effort\ in fact,, the opposite. I was being honest and truthful. I would not pay to get a vaccine.  I would not pay to not get a vaccine, I simply wouldn't get it and wouldn't need to pay."	"Neutral"
920	"No"	"Pro"
921	"I was just looking to see if there were any deadly side effects"	"Neutral"
922	"First I looked at risks. Then effectiveness. I prefer not to take anything with potential severe risks."	"Neutral"
923	"The only reason I would get a covid shot is if it was required to get into a concert that I planned on going to. I dont care how effective it is, I dont care what shot it is, just that its one and done."	"Neutral"
924	"Percentage and severity of side affects."	"Pro"
925	"I compared the benefits and the risks and picked the one I would do."	"Anti"
926	"I primarily looked at the likelihood of experiencing what I consider to be the most severe side effects."	"Neutral"
927	"Looked at how severe the discomfort would be against the amount of safety it provides."	"Neutral"
928	"No, I reviewed all details in the order that they were presented. It threw me for a second the first time benefits\/side effects switched sides, so I made sure to look at the groupings each time."	"Neutral"
929	"Looking at the overall side effects combined with the effectiveness"	"Neutral"
930	"I looked at all the information and tried to decide which ones I would have the least amount of trouble from."	"Neutral"
931	"I let the side effects be the basis of most of my decisions."	"Neutral"
932	"N\/A"	"Neutral"
933	"I looked at the side effects first and decided whether or not I would get the vaccine. If side effect that I would not comprise with had a good chance, then I would not get the vaccine."	"Neutral"
934	"null"	"Neutral"
935	"Just spoke to my PCP"	"Anti"
936	"null"	"Pro"
937	"i personally just dont believe in the vaccines"	"Anti"
938	"I think I was mostly benefits-oriented in looking at the information. If I'm seeing 90%+ protection I'm more likely to tolerate some risk vs. if the benefits are in the 70's% or lower. The exception to that was, I think, the Indian vaccine because it was an inactivated virus vaccine which I personally feel more comfortable with since the technology has been around for a lot longer. One of the risks you didn't list was potential future complications from the nature of mRNA vaccines, if any. That entered into my mind a little. But overall, if I saw really good protection numbers I weighed those heavily against possible negative outcomes."	"Pro"
939	"I just compared them and made the decisions that I made. I characterize them as normal I thinking."	"Neutral"
940	"I based my responses on the percentages given and the severity of the side effects\/risks of getting the vaccines."	"Neutral"
941	"null"	"Neutral"
942	"I found myself re-checking the probabilities for the risks as I re-evaluated the negative event. For example, with the severe muscle pain, I noticed that I had an evolving perception of what this would actualize into. Some memories of experienced pain were more noticeable  at different points and this impacted my willingness to go through re-experiencing the pain levels from this event. The specific events  I equated to severe pain included falling ~50 feet out of a tree, passing gallstones, gout flareup and getting hit by a care. At some point, I also began to worry about the possibility that severe muscle pain is even worse than these experienced events."	"Pro"
943	"I'm not going to get vaccinated for any reason."	"Anti"
944	"I looked first at whether it would protect me. Some I immediately ruled out and didn't need more information. Of those that would protect me well (90% or higher), I analyzed the severe side effects to see how likely it was I'd get them. If not very likely, then I ignored them. If likely, I looked at how bad they would feel compared to COVID."	"Pro"
945	"avoid companies with a shady past and with known side effects"	"Neutral"
946	"there were no specific reasons how i searched for information about the vaccines in this study' i had already researched about vaccines prior to taking this study"	"Pro"
947	"I had no intent on taking any of the vaccines for COVID-19."	"Anti"
948	"I was paying attention to the side effects in the vaccines."	"Neutral"
949	"I ended up being allowed to work remotely so getting vaccinated seemed like even less of an issues at that point."	"Anti"
950	"null"	"Neutral"
951	"I tried to judge on the effectiveness of the vaccine versus it's side effects. It seems like the non US vaccines were not as effective overall."	"Neutral"
952	"I havent done a lot of research bc I have been fully against it from the start."	"Anti"
953	"The benefits had to outweigh the potential harm for me. Especially since I have not experienced Covid and I might be the kind of person who is asymptomatic I would not want something that could do me more harm than Covid would."	"Neutral"
954	"No there were not. I have done my research on the vaccines and made my decisions based on the information provided."	"Neutral"
955	"null"	"Anti"
956	"what it would do to my body and effects ect."	"Anti"
957	"I looked at all the information but I focused on the side effects more then anything."	"Anti"
958	"No"	"Anti"
959	"to begin with they changed the definition of a vaccine so that they could call it a vaccine but it is in fact not a vaccine.  they are more like flu shots with tons of boosters.  I had Covid and it didnt effect me too badly.  It seems to be about politics not about trying to find a cure.  We still have no idea what the long term affects are for the vaccine or for Covid.  But i can choose whether i am willing to risk my future and my future children for politics.  The shots from the begining were said to make the symptoms more mild but it does not in fact prevent the spread of Covid.  I am not an antivaxxer.  my children, husband and I are all up to date on vaccines.  We do not get flu shots either."	"Anti"
960	"I definitely was pretty focused on wanting to get the more effective ones!"	"Neutral"
961	"my initial interest was in the risks, and if they passed my mental screening, i went on to analyze the benefits. i rejected a few that didn't really present significant risks if the likelihood of still getting covid was a little too high for me, personally, to think it was worth the effort. i do think i would have made a few different decisions if i could have seen all of the information at the same time, though, as opposed to having to hover over every single thing separately. there were a few i saw i rejected during the assigning value portion of the study that made me think, \why did i reject this?\"	"Neutral"
962	"No. I used the percentages of risks for side effects and the effectiveness percentages and country of origin and type of vaccine to choose my answers. My search behavior was very carefully."	"Anti"
963	"null"	"Anti"
964	"1) Severity of permanent negative side effects (ie; heart problems). 2) Experimental nature of vaccine (ie; mRNA). \nI took the Pfizer vaccine because I wanted to travel. A blood clot formed shortly after the first dose but not found until after the second dose. I now must take blood thinners for the rest of my life. Had I known this in advance, I would have waited to take a \classic\ kind of vaccine."	"Neutral"
965	"I just think it is unnecessary for me to get a new vaccine when I am perfectly healthy."	"Anti"
966	"There was not any specific reason. I would characterize my search behavior in line with searching for side effects vs efficiency"	"Neutral"
967	"I assessed the risks and judged by the attack vector."	"Neutral"
968	"I don't believe mRNA technology is a vaccine so I won't take it. I won't take any vaccine coming out of China."	"Anti"
969	"Even the chance of developing a severe complication was enough for me to determine it wasn't for me."	"Anti"
970	"No I have looked into it before but honestly this is like any vaccine, it helps but no one really knows how much.  There is no way to tell how it will or won't so I did read about others reactions to their vaccines but a lot of this went on blind faith."	"Pro"
971	"null"	"Neutral"
972	"I looked for what I thought were more severe negative risks and overall effectiveness of the vaccine."	"Pro"
973	"I wanted to know if I'd have ongoing health issues, not just temporary discomfort."	"Neutral"
974	"I looked at the facts presented for each type and if anything was below 65%, I had to decide if the other percentag made up for it."	"Pro"
975	"null"	"Pro"
976	"There was no specific reason for how I searched for the information, I just chose what my gut told me. I am neutral about getting vaccines but a little more leaning for in favor any vaccine that will help people with the diseases."	"Neutral"
977	"dont believe in any of the covid vaccines, so i didnt have to search too far"	"Anti"
978	"If there were any severe risks like the immune system attacking nerves or the heartmembrane inflammation one they made me automatically want to reject the vaccine just on the slim chance that I happened to be one of the 25 in a million that got it because of it's severity. Things that were expected outcomes of a vaccine like muscle soreness, tiredness, or fevers I didn't have much a problem with because some vaccines do use part of the virus itself."	"Neutral"
979	"Im personally against the covid vaccination I personally wouldnt get it myself I have researched many web pages that show negative out comes due to the vaccination."	"Anti"
980	"In the beginning, I listen to news channels like msnbc and fox to get outlooks on both perspectives of the vaccine. Afterwards, I started to research stories regarding those who have experienced negative side effects. I would characterize my intial search as open-minded."	"Anti"
981	"No reason except rates of severe side effects"	"Neutral"
982	"If the side effects were severe enough or frequent enough that I felt they outweighed the benefit, I would choose not to take it."	"Neutral"
983	"I browsed the different stats but have no faith in their veracity. I knew going in that I would select no for every vaccine. There is just no getting around the fact that it is literally impossible for the appropriate amount of research data exists based on how every other drug trial is performed. It will be years of research before I'd even consider the vaccines to potentially be as safe as they are claimed to be."	"Anti"
984	"i just looked at all the information"	"Pro"
985	"Of course, I favored vaccines that provide good protection and with minimal side effects."	"Neutral"
986	"I just listened to other peoples opinons on it and the what I heard about it online and formed my own opinion."	"Neutral"
987	"I wouldn't say I was very specific but I was looking at the probabilities. Even if the probability is 41,000, it's too much. I could be one of those people. It was mostly that that steered me away from a few. High probability of success was an almost immediate positive, however"	"Neutral"
988	"I honestly first looked at where the vaccine was being produced and then I looked at the name of the company and lasty, I looked at the risks and if the risk outweighed the protection then it was a no."	"Pro"
989	"I stopped reading about vaccination because I do not trusts what I read."	"Anti"
990	"i feel that this virus was made just to kill people and lower population"	"Anti"
991	"I chose my answers based on effectiveness."	"Neutral"
992	"I've been against all vaccines for nearly 20 years. I did review the information but it ultimately doesn't change my stance on vaccines in general."	"Anti"
993	"null"	"Neutral"
994	"I looked at the information provided for each vaccine, but I am against the covid vaccine so whatever information was presented was useless to me."	"Anti"
995	"Effectiveness was the number one most important thing. Second most important thing was frequency of side effects regardless of what the side effects were."	"Pro"
996	"I looked at how effective they were in prevention then tried to figure out if the risks were acceptable to me compared to the benefits"	"Neutral"
997	"I had a flu vaccine nine years ago. I developed severe Guillian Barre Syndrome. I was paralyzed neck down. I had extensive physical therapy, plasmaporesis treatments. I am left with muscle weakness, residual symptoms and gastroparesis. I have to have a feeding tube because my stomach is paralyzed. I will take extreme precautions to avoid and protect myself from Covid-19 but since I still have elevated protien in my spinal fluid, I do not feel it is safe to get the covid vaccine. My doctor has advised against it also."	"Anti"
998	"I tended to look for the 'negatives' first (i.e. the side effects) and rated them on how severe they were. Regardless if it affected, say, 25 out of 1,000,000 people, if the side effect was something such as a blood clot or facial paralysis, it deterred me from wanting to give that vaccine a chance."	"Neutral"
999	"I worried mostly about the side effects. I felt worse after getting the vaccine than I did when I got covid, so the vaccines make me nervous personally."	"Neutral"
1000	"I mainly looked at the effects that it can have on me and the statistic of its effectiveness (the %). I would characterize my search behavior as analytical\/statistical."	"Neutral"
1001	"null"	"Anti"
1002	"What do you mean by how I searched for information about the vaccines in the choice task? I guess you meant how I \selected\ the vaccines in the choice task. No particular reasons other than my choices were based on what I know regarding the safety and effectiveness of the vaccines based on news sources I read throughout the months during the pandemic."	"Neutral"
1003	"I looked at who developed the vaccine, the type of vaccine and weighed the side effects risks vs effectiveness of the vaccine. I told myself that anything above $10.00 was too much."	"Neutral"
1004	"No. Just took the one available to me so I can try and live a normal life. I will not be receiving any booster vaccines or any more covid vaccines in the future"	"Anti"
1005	"I just generally read all the information from left to right. I did not prioritize any category."	"Neutral"
1006	"I mostly looked at the side effects and how likely they were. I made my decisions based on the seriousness of the side effects as well as how much protection against disease"	"Neutral"
1007	"The thought of blood clots, facial paralysis, and heart problems scares me. I would be hesitant to put myself at risk by receiving such vaccines."	"Neutral"
1008	"null"	"Neutral"
1009	"prioritized what the bad effects were"	"Anti"
1010	"I wouldn't want even moderate chances to experience severe discomfort after getting vaccinated."	"Neutral"
1011	"was provided free vaccination from my employer and chose to receive it."	"Pro"
1012	"Basing the prices that I would purchase to get the vaccine based on the statewide and national average prices of each vaccine brand dose based on its trending averages from the past 2-3 years from 2019-2022."	"Neutral"
1013	"I was very interested in the side effects and the effectiveness. Those things affected my opinions a lot. I'm going to get vaccinated after I have a physical just to make sure that there are no complications. My two sons had Covid-19, so I think it is important to be vaccinated."	"Pro"
1014	"I would avoid extreme discomfort"	"Neutral"
1015	"Efficacy vs risks"	"Neutral"
1016	"I avoided vaccines made in China"	"Neutral"
1017	"I did check the side effects and benefits, but quickly however, since I am already against the vaccine, so my mind was made up."	"Anti"
1018	"I weighed the minimal risks against the minimal benefits, for me there are no real benefits, so any risk outweighs them."	"Neutral"
1019	"I looked at the overall harms versus the claimed benefits of each vaccine."	"Anti"
1020	"I looked for information from credible pharmaceutical regulators in the US, such as the FDA, in order to ensure the vaccine is safe and effective prior to getting the vaccine."	"Neutral"
1021	"I gave heavy weight on the type of vaccine first. I felt safest with mRNA vaccines since they did not contain viral proteins at all. I then looked for vaccine effectiveness. I also looked for severe abnormalities that may cause death like blood clots."	"Pro"
1022	"null"	"Anti"
1023	"Where it originated, what the side effects were, and how effective they were"	"Anti"
1024	"Not particularly. I mostly agnostic where Covid is concerned. I've had it and it wasn't fun but I've definitely been sicker for longer amounts of time. The people I've known who have been hit really bad by it - vaxxed and not vaxxed - had so many health problems to being with that Covid was just the straw that broke them."	"Neutral"
1025	"null"	"Anti"
1026	"I would say my behavior was solely based on the fact that I do not believe in the vaccines themselves as worth the risk."	"Anti"
1027	"null"	"Anti"
1028	"I researched the worst case senarios that resulted from vaccinations. What I found out was troubling and I regret getting the vaccination when I did. There are some health risks in the future that might come up as a result of the vaccine that will cause many more issues than covid-19."	"Anti"
1029	"I need to know all possible side effects.  I have medical issues that could be made worse."	"Anti"
1030	"Over time I have changed.  At one time I would not have gotten the mRNA vaccines.  Now that time has passed and I see that my friends who got that one are okay, I'm fine with them.  For this, I paid attention the number of people with severe side effects more than the benefits.  I'm not sure I want one made in China, either.  I missed one by accident, but the other I caught and declined."	"Neutral"
1031	"null"	"Anti"
1032	"I looked at the benefits first and then the side effects"	"Anti"
1033	"No. I wouldn't get any Covid vaccine."	"Anti"
1034	"null"	"Neutral"
1035	"Gut instincts paired with what I consider acceptable numbers on such a new vaccine."	"Anti"
1036	"I would characterize it as thorough. I looked through every box to see if any interesting info showed under the details."	"Anti"
1037	"I have personally known 4 people who have had serious side effects from the vaccine such as strokes and seizures. I do not believe that it is safe. I have seen these side effects personally in my friends and family so I know they exist"	"Anti"
1038	"There were no specific reasons that I can think of. I only searched for a vaccine when it threatened my job status."	"Anti"
1039	"There was nothing specific."	"Anti"
1040	"No, I just looked at all of the information provided and made my decision based on that."	"Anti"
1041	"i looked at all the negative side affects of the vaccine and looked at all the positives and weighed them pros and cons."	"Neutral"
1042	"I wanted to know everything. I needed to have all the information before I could make a good decision."	"Anti"
1043	"side effects are a big deal to me which is the only reason i havent been vaccinated yet. i looked at the potential side effects compared to the percentage of how much the vaccine protects against covid or severe covid"	"Neutral"
1044	"null"	"Anti"
1045	"I just read everything and made an informed decision. I would characterize my search behavior as knowledge seeking."	"Anti"
1046	"Looked at the given information and made my choice."	"Anti"
1047	"I did a lot of research and have friends who have researched it online. Too many serious health issues that come from the vaccines and they do not protect people from covid 19.  I have known people that were vaccinated that received the vaccine and still got covid."	"Anti"
1048	"I looked at the percentages and the number of cases for each side effect"	"Anti"
1049	"null"	"Anti"
1050	"I looked for which ones had least side effects vs effectiveness"	"Anti"
1051	"null"	"Anti"
1052	"the vaccince was made far to fast versus any other. i do not believe enough test have been done and from what i have seen it seems almost pointless as i know many who have had covid two or three times and taken it and the boosters. also who knows what it may do to people in the future"	"Anti"
1053	"I did not research information while performing this survey."	"Neutral"
1054	"I read from various different medial fied experts and look at different studies and data to make the best choice for me"	"Pro"
1055	"doctors"	"Anti"
1056	"I just went through and read every one offered."	"Anti"
1057	"From China or mRNA, hard No, regardless of promised benefits. All others, I weighed the risks against the benefits."	"Anti"
1058	"Risk Factors"	"Anti"
1059	"null"	"Anti"
1060	"No nothing specific. I did try to look for more severe side effects."	"Anti"
1061	"No, I am pretty familiar with the information about vaccines."	"Anti"
1062	"I would go off the names of the well known companies pushing these vaccines."	"Anti"
1063	"I knew if I was going to get vaccinated, I would not want any of the technologies except Inactivated Virus.  I looked at the 2 vaccines with that technology and then looked at the side effects.  Sinovac had facial paralysis as a side effect  with 50 out of 1,000,000, so I chose the other Inactivated virus.  I looked at every Vaccine and its' benefits and side effects and after seeing them, I was just as convinced as before the study, that I did not want them injected in my body."	"Anti"
1064	"I searched several news articles about people getting very ill from the vaccine."	"Anti"
1065	"I had a blood clot when I was 29 from my ankle to my groin and three in my left lung that almost killed me. Then at 48 I had another. My grandma and her daughter my aunt both died a little older than I am now with blood clots. I am not willing to take that chance."	"Pro"
1066	"My search behavior was to start with the effectiveness. I then went on to look at the severity of what the side effect was and how common. From there I made my decision. My thought process follows one of not being willing to get a vaccination that could at all cause me to have a life altering side effect. I also chose not to get vaccinated if the side effects were the same I would get if I contracted Covid. I would prefer to suffer those side effects and let my body respond naturally than to put it through any potential other negative side effects."	"Anti"
1067	"No"	"Neutral"
1068	"I will never pay to not take a vaccine, its a stupid thing to ask about. Vaccination should be a choice."	"Anti"
1069	"No, my search behavior is characterized by curiosity."	"Anti"
1070	"null"	"Anti"
1071	"Scientific journal articles about specific characteristics of the vaccine and how it works. Case studies of side effects and why they could be linked to vaccine. I casually searched for information against the vaccine to back my opinion"	"Anti"
1072	"null"	"Neutral"
1073	"no"	"Anti"
1074	"just read the risk"	"Anti"
1075	"I searched intensely for weeks and made up my own opinion about the vaccine"	"Anti"
1076	"Side effects, percentage of effectiveness and risks."	"Anti"
1077	"null"	"Anti"
1078	"null"	"Anti"
1079	"I looked at the risk for severe side effects the most"	"Anti"
1080	"I read through each risk and cases reported and paid attention to manufacturer country and then made my decisions."	"Anti"
1081	"I received a flu shot a few years back and I still have pain at the injection site.  After my son was born in 2011 I researched all the vaccinations that he was to have and I grew to dislike all the chemicals pumped into his body.  I no longer receive a flu shot.  If covid sticks around for years\/decades maybe after the covid shot (not vaccine, it is not a vaccine) might be something I would try.  I do research on the negative affects of the shot and do not want to put my family thru that."	"Anti"
1082	"I would not get any vaccine at all. I don't make a lot of money so I can't pay much to not get vaccinated but if I could I would pay as much as possible."	"Anti"
1083	"I was looking for side effects, country of origin, type of vaccine and overall how trustworthy the pharmaceutical companies seemed.  I then decided if I would be willing to risk having my body injected with each of the different vaccines."	"Anti"
1084	"I didnt particularly search for info. THe ones that were made in china i automatically said no to, as well as the one from India. I considered the astrazeneca but he high rate of adverse effects made it a no. I also automatically said no to moderna and pfizer"	"Neutral"
1085	"No specific reason to how information was viewed.\nHowever precent is not really something that matters about side effects as one can never be sure what is triggering the response, it needs to be viewed that you are one jab away from potentially experiencing any listed or even unlisted effect... is it something you are willing to accept and live with."	"Anti"
1086	"I went over each box in order of presentation."	"Anti"
1087	"none I went with word of mouth"	"Pro"
1088	"Mostly interested in the protection offered by each vaccine. But I'd accept any of the vaccines because any of them is better than no protection."	"Pro"
1089	"i think it's important to balance the risks and benefits so i looked at the effectiveness against everything and then the risks and just thought about the ones that i would really not want to get (immune system attacking my own body) vs. the ones that i didn't really care about (tiredness)"	"Pro"
1090	"null"	"Pro"
1091	"I focused on the possibilities of severe side effects and the source of the vaccination."	"Pro"
1092	"null"	"Anti"
1093	"I searched by results of being vaccinated or  effectiveness"	"Pro"
1094	"I looked for vaccines that I frequently hear about (or have heard about in the past). I definitely wouldn't take a vaccine from China or India since the others seem more reputable and more effective."	"Pro"
1095	"I wanted to avoid severe side effects, and choose the ones with highest efficacy rates"	"Pro"
1096	"I thought about how large the benefits were against the possible risks involved."	"Pro"
1097	"No, I did look for general information and spoke with friends and family about their choices."	"Pro"
1098	"I listened to my instincts. And I responded according to my feelings. this is my request"	"Neutral"
1099	"My primary concern was the overall effectiveness of the vaccine. My secondary concern was the likelihood of severe symptoms. Notably, only one vaccine reported an extremely high rate of any real side effects - Moderna suggested that 1 in 10 recipients got severe muscle pain, which wasn't encouraging. However, it was quite effective. I tried to be methodical but I lean heavily toward vaccinations."	"Pro"
1100	"How bad the side effects were. Specifically any that involved the heart. I have health anxiety and thats why I haven't gotten it. I also have a fear of needles. The heart side effect seems to be the worst side effect you can get. After the facial paralysis."	"Pro"
1101	"I wanted to see which ones have the biggest risks and avoid them."	"Neutral"
1102	"null"	"Neutral"
1103	"i wont get vaccinated so my choices were easy.  i scanned the info but the bad outweighs the good"	"Anti"
1104	"Thorough, I wanted as much information as possible."	"Pro"
1105	"No. I would characterize it as thorough."	"Pro"
1106	"I looked at the percentages of how well the vaccine protected you and what the possibilities of side effects.  How the virus was manufactured or where it was made did not make a difference to me."	"Pro"
1107	"I looked at all information available to me."	"Neutral"
1108	"I wanted to see what the risk were the most and how many people could be effected then see what the benefits are since to me the risk were the most important factor when making my choices and when looking at the information."	"Neutral"
1109	"I have a few health complications that put me in direct jeopardy of heart and blood clotting issues with any of the vaccines. My doctor has currently advised me that the risk they pose to someone with my history isn't worth it.  Until something better comes along or more testing has been done I rely heavily on masking and good overall health practices and quarantining.  if it changes then I am open to trying something safer for myself.  Also if I had to pay to not receive a voluntary vaccine or for a government to force certain health care options on me then it's time for a new government.  That is insanely unethical. coronavirus is just that it's a virus it's not polio.  The flu is also a virus and the flu shot is voluntary.  Society doesn't have any right to force people to make health decisions that is an individual choice.  If a person is dumb enough to make the wrong choice well that's their right to."	"Neutral"
1110	"Nope!"	"Neutral"
1111	"No. Looking for information"	"Neutral"
1112	"no"	"Neutral"
1113	"I judged based off side effects and effectiveness the most."	"Neutral"
1114	"no"	"Neutral"
1115	"No specific reasons, mostly just looked at the vaccine effectiveness and if a side effect seemed severe or not."	"Neutral"
1116	"null"	"Neutral"
1117	"I looked for risks and how well it protected against Covid. Why get the vaccine is the risks outweighs being protected. Why get the vaccine if there is a larger change of it not protecting you."	"Neutral"
1118	"I did some research on each of the available vaccines, but my primary influence was reading experiences of friends and family and comparing the side effects they experiences with each of the vaccines."	"Pro"
1119	"I carefully evaluated what was presented to me and used my own judgment."	"Neutral"
1120	"My main concern were the side effects so that's what I looked at first to determine whether I would get it or not."	"Neutral"
1121	"I got the vaccine because my wife asked me to, and there were certain things that we could not do if we didn't receive it. I got the flu shot once, and within a month I got the flu really bad. My view of these vaccines is not favorable. I caught covid with 3 months of receiving my 2nd shot. I do not like being told that I must get vacciniated."	"Neutral"
1122	"I weighed the potential benefit with potential harm"	"Neutral"
1123	"none"	"Anti"
1124	"I looked for the severe side affects"	"Neutral"
1125	"I admittedly don't have time or honestly the education to read and truly understand peer reviewed studies. I tried to find information from unbiased and trusted sources who reviewed the studies and passed along the information."	"Neutral"
1126	"No, I just don't think these vaccines were researched enough because they were rushed."	"Neutral"
1127	"n\/a"	"Anti"
1128	"I searched for side effects first. I know that the side effects can be pretty bad sometimes. That is one reason that I chose to not get vaccinated."	"Anti"
1129	"I focused on the side effects more than anything."	"Neutral"
1130	"Ive researched all these vaccines. None of them work, and they all have severe side effects up to and including death"	"Anti"
1131	"there was no specific reasons for how i researched the vaccines. i went by general knowledge"	"Anti"
1132	"I looked at the risks first then at the benefits of that vaccine; then determined if the risks outweigh the good"	"Anti"
1133	"I looked for severe side effects and the efficacy of preventing the disease.  Also I do not want any vaccine from China."	"Neutral"
1134	"I weighed risk vs benefit including how likely the reactions would be vs how severe they would be weighed against the level of protections from Covid."	"Neutral"
1135	"I really focused on the overall effectiveness of the vaccine, and if the side-effects were anything less than a moderate discomfort, such as blood clots or paralysis, that vaccine was immediately a \no\."	"Neutral"
1136	"I am not looking to get the vaccine, we do not know much about the long term effects."	"Anti"
1137	"I stay current and abreast of information posted on the World Health Organization, the CDC and other national health and world-wide organizations.  Furthermore, I stay on top of the Vaccine Incident Report.  Additionally, there are far too many folk getting this ailment after being fully vaccinated which leads one to question the viability of the information and vaccine. Originally touted as 100% effective...now being told a booster shot will be needed on a regular bases..only increases ones chances to encounter adverse side affects.  No, thank you. I do not plan to pay to have to take nor to avoid taking it...as this matter will soon blow over and we will move on to another world-wide planned disaster from the Apocrypha."	"Anti"
1138	"null"	"Neutral"
1139	"null"	"Anti"
1140	"based on risk. i am extremely risk averse"	"Neutral"
1141	"I observe how people reacted the getting the vaccine. I made my own choice by not taking it and I am waiting for more data to come out before making such a big decision."	"Anti"
1142	"No, there was not any specific reasons how I searched for info. I was just checking all the statistics, I didn't believe them necessarily, just checked to see what they were."	"Anti"
1143	"More interested in side-effects than efficacy."	"Anti"
1144	"Anything from China or mRNA was an automatic no. If the vaccine had even a remote chance of doing substantial harm it was an automatic no. Effectiveness did not factor into my decision."	"Anti"
1145	"Looked at the number of people that suffered from the outcomes of the vaccines and what the outcomes were. Also looked at how effective the vaccine was at protecting against getting the virus."	"Anti"
1146	"just not a fan of the vaccine"	"Anti"
1147	"I really didn't have any specific reasons for how I searched"	"Anti"
1148	"null"	"Anti"
1149	"There weren't any specific reason on how I search for information about the vaccines, I just don't like any potential symptom that I could get, I don't feel it is worth the risk."	"Anti"
1150	"I didnt research vaccines"	"Anti"
1151	"no need, you have a 99.7% chance of surviving, why would you need to? if covid was as indeed we were told, so contagious, why didn't all the homeless, drug addicts and prostitutes all pass away. they didn't wear masks, social distance or wash themselves hmmmmmmmm, just stop, the democrats have their little sheep who listened to the likes of the worst italian doctor fauci ever and the who and the cdc who know nothing, people still wear masks outside by themselves and driving by themselves in cars, I just shake my head and wonder how anyone could be so stupid"	"Anti"
1152	"I basically just weighed how bad the side effects would be and rated accordingly"	"Anti"
